gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
ENSG00000214274,1663.4840829111365,-0.18849832791478707,0.053452519355728485,4.0198037597671403e-4,5.540225553468977e-4,ANG,
ENSG00000214279,100.42488893855636,-0.9519988357082372,0.07179460749915043,1.6951328074421863e-40,6.064964240370036e-40,SCART1,
ENSG00000214288,7.0757865166427925,3.7967645196975837,0.19669045043089328,6.471260709084259e-85,4.40598537300409e-84,HMGB3P13,
ENSG00000214290,30.65036686304927,1.6511775030967268,0.11710120694670333,8.89477363503803e-46,3.472305617527628e-45,COLCA2,
ENSG00000214309,16.12346957808077,-0.8555142786928476,0.08762096043101916,8.435374310040216e-23,2.123685535633843e-22,MBLAC1,
ENSG00000214331,327.00899515547525,-0.17506670841082508,0.04689387289461932,1.8374752098065413e-4,2.5774295262527574e-4,AC009053.1,
ENSG00000214336,20.891399670662185,0.2623999389934857,0.07721733233132515,6.376964644308785e-4,8.699864978707149e-4,FOXI3,
ENSG00000214338,23.437015203880247,-0.3321570624966688,0.5348669672260096,0.388505204153985,0.42083432104710394,SOGA3,
ENSG00000214357,154.13228316151424,-1.2955278795972751,0.1538664484565942,9.766831897986106e-18,2.1649532721420288e-17,NEURL1B,
ENSG00000214367,1001.933415182238,0.03928464667010499,0.03581534109262186,0.27198169202672484,0.30100190666928406,HAUS3,
ENSG00000214369,6.906226549499158,-0.13543046791424293,0.10732399049354421,0.20302626730463066,0.22862944348142458,AC009967.1,
ENSG00000214376,7.6534367358793896,-1.805368372742716,0.1753854500894461,9.352310571755585e-26,2.511084333775746e-25,VSTM5,
ENSG00000214413,2030.2368424793115,0.3225150016888496,0.02761619871262236,1.465781636535553e-31,4.4364063789347225e-31,BBIP1,
ENSG00000214425,598.7793997893941,-0.2136985242777169,0.10137992615193545,0.033677216238008206,0.04078794811230906,LRRC37A4P,
ENSG00000214435,792.380024510036,-0.7957013591954756,0.05929748183090279,1.8343852217255923e-41,6.665556538531786e-41,AS3MT,
ENSG00000214439,26.81013009172638,-0.9026702395764569,0.076556893234458,1.551310271925272e-32,4.79265730388066e-32,FAM185BP,
