TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.20.120.1110	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.760.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.20.70.30	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.750.24	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.40.350.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.10.245.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.60.40.1260	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.20.1270.350	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.60.160	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.10.238.200	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.390.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.40.290.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.60.40.1700	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.900.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.25.40.1020	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.20.110.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.1050.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.10.150.110	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.1220.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.1600.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.160.20.70	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.20.1380.20	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.60.120.820	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.40.50.920	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
1.25.40.280	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.30.390.130	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.20.20.120	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.60.40.420	-	0.999999999985833	-1.41673401122323e-11	14	0	0	253	8522
1.10.8.720	-	0.999999999985833	-1.41673401122323e-11	14	0	0	253	8522
3.10.120.10	-	0.999999999985833	-1.41673401122323e-11	14	0	0	253	8522
1.10.560.10	-	0.999999999985833	-1.41673401122323e-11	14	0	0	253	8522
3.30.1330.30	-	0.999999999985833	-1.41673401122323e-11	14	0	0	253	8522
2.10.10.10	-	0.99999999998618	-1.38197232914807e-11	13	0	0	253	8522
1.10.490.10	-	0.99999999998618	-1.38197232914807e-11	13	0	0	253	8522
1.10.437.10	-	0.99999999998618	-1.38197232914807e-11	13	0	0	253	8522
2.60.34.10	-	0.99999999998618	-1.38197232914807e-11	13	0	0	253	8522
1.20.1270.10	-	0.99999999998618	-1.38197232914807e-11	13	0	0	253	8522
2.60.40.640	-	0.99999999998618	-1.38197232914807e-11	13	0	0	253	8522
1.10.1540.10	-	0.999999999987988	-1.20114853645217e-11	9	0	0	253	8522
2.30.40.10	-	0.999999999987988	-1.20114853645217e-11	9	0	0	253	8522
3.30.720.50	-	0.999999999987988	-1.20114853645217e-11	9	0	0	253	8522
1.20.1540.10	-	0.999999999987988	-1.20114853645217e-11	9	0	0	253	8522
3.30.428.10	-	0.999999999987988	-1.20114853645217e-11	9	0	0	253	8522
2.60.40.720	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.10.287.810	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.10.3860.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.20.120.1120	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.90.1290.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.30.920.20	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.10.600.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
2.70.130.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.40.1810.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.40.1190.20	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
2.60.40.2440	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.10.20.380	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.20.120.550	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.20.990.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
